cost,price,weight,purchase_date,product_type,product_level,maker,ingredient,height,width,depth
$119k,"$229,814",3 Ton 120 Kg,Jul 06 2012,J,intermediate,M14484,"IN733180,IN732372,IN733181,IN732505",2.77 meters,98 cm,26 cm
$116k,"$134,742",3 Ton 70 Kg,Jun 26 2015,J,intermediate,M14484,"IN732372,IN733180,IN732505,IN733181",2.16 meters,110 cm,29 cm
$238k,"$144,863",2 Ton 890 Kg,Aug 16 2002,U,advanced,,"IN732275,IN732589",1.89 meters,114 cm,30 cm
,"$34,666",3 Ton 200 Kg,Jul 28 2006,"F,A",super advanced,M14464,"IN733139,IN732666,IN733182,IN733177,IN732547,IN732729,IN732566,IN732200,IN733183",2.5 meters,104 cm,27 cm
$12k,"$79,617",2 Ton 900 Kg,Jul 11 2014,D,super advanced,M14485,"IN732066,IN732692,IN732581,IN733184,IN732123",2.25 meters,105 cm,27 cm
,"$134,382",3 Ton 150 Kg,Dec 12 1997,"F,H",super advanced,M14486,"IN732228,IN732130,IN732082",2.85 meters,97 cm,25 cm
$81k,"$78,263",3 Ton 0 Kg,Jun 08 2012,N,super advanced,M14487,"IN732386,IN732789",2.35 meters,104 cm,27 cm
,"$65,893",2 Ton 890 Kg,Oct 25 1996,D,super advanced,,"IN732443,IN732294,IN733185,IN732701,IN733186",2.78 meters,94 cm,25 cm
$34k,"$283,005",2 Ton 880 Kg,Jun 09 2017,"N,U",super advanced,M14488,"IN733187,IN732461,IN733058",2.75 meters,94 cm,25 cm
$160k,"$175,511",3 Ton 130 Kg,Jul 12 2002,U,super advanced,,"IN732349,IN733188,IN732237,IN733189,IN733133",2.54 meters,102 cm,27 cm
,"$26,020",2 Ton 850 Kg,Dec 08 2006,C,basic,,"IN732640,IN732621,IN732401,IN732089",2.52 meters,98 cm,26 cm
$191k,"$91,350",3 Ton 0 Kg,Aug 04 2006,"S,N",super advanced,M14432,"IN732766,IN733190,IN732577",2.71 meters,97 cm,25 cm
,"$37,303",3 Ton 50 Kg,Dec 26 2008,"S,N",super advanced,M14489,"IN733191,IN733192,IN733193,IN733194",2.66 meters,99 cm,26 cm
$25k,"$57,716",3 Ton 150 Kg,Apr 01 2016,"D,H",super advanced,,"IN733195,IN733196",2.68 meters,100 cm,26 cm
$223k,"$369,473",3 Ton 50 Kg,Jul 07 2000,U,super advanced,,"IN732372,IN732351",2.51 meters,101 cm,27 cm
,"$96,437",2 Ton 920 Kg,Oct 26 2001,"D,A",advanced,M14490,,2.64 meters,97 cm,25 cm
,"$38,653",3 Ton 90 Kg,Jan 16 1998,"D,A",super advanced,M14491,"IN733197,IN733198,IN733182",2.37 meters,105 cm,28 cm
$66k,"$107,793",3 Ton 40 Kg,Sep 25 2009,H,advanced,,"IN732257,IN732334,IN732535,IN732612",2.54 meters,101 cm,26 cm
,"$63,791",2 Ton 770 Kg,Jan 07 2000,C,basic,,,3.07 meters,88 cm,23 cm
,"$83,726",2 Ton 920 Kg,Dec 13 1996,D,advanced,,"IN732099,IN733199,IN732219,IN732277",2.6 meters,98 cm,26 cm
$157k,"$204,366",2 Ton 870 Kg,Nov 30 2001,"D,R",advanced,"M14193,M14194","IN732256,IN732273",2.48 meters,99 cm,26 cm
$113k,"$65,767",2 Ton 890 Kg,Nov 03 2000,"D,R",advanced,,"IN732910,IN732658,IN732064,IN733200,IN732310,IN732456",2.1 meters,108 cm,28 cm
,"$66,509",3 Ton 10 Kg,Feb 20 2004,"D,R",advanced,M14249,"IN732304,IN732619",2.58 meters,99 cm,26 cm
$223k,"$357,570",2 Ton 870 Kg,Apr 05 2002,"J,D",intermediate,M14257,"IN732362,IN733053,IN732295,IN732584,IN732444",2.86 meters,92 cm,24 cm
$270k,"$488,187",2 Ton 880 Kg,Dec 26 2008,C,basic,M14492,"IN732758,IN732267,IN732459,IN733201,IN732875,IN732213,IN732730,IN733061,IN732121,IN732521,IN733202",2.55 meters,98 cm,26 cm
$223k,"$675,115",2 Ton 950 Kg,Dec 14 2012,C,intermediate,M14468,"IN732617,IN732103,IN733203,IN732125,IN733204,IN733205",2.38 meters,103 cm,27 cm
$75k,"$43,914",3 Ton 210 Kg,Jul 27 2001,"D,R",super advanced,M14182,"IN732526,IN732655,IN732109,IN732629",2.66 meters,101 cm,27 cm
$172k,"$106,462",2 Ton 990 Kg,Oct 05 2001,N,super advanced,M14493,"IN732172,IN732248,IN733206,IN733084,IN732443",2.96 meters,93 cm,24 cm
$223k,"$179,528",2 Ton 920 Kg,Jul 24 2015,"N,A",advanced,M14494,"IN733207,IN733208,IN732408,IN733209,IN733210,IN733211",2.35 meters,103 cm,27 cm
,"$93,329",3 Ton 100 Kg,Jan 23 2015,"T,H",advanced,M14495,"IN732165,IN732086,IN733212,IN732265,IN733213,IN732202,IN733214",2.44 meters,104 cm,27 cm
$97k,"$134,981",2 Ton 990 Kg,Mar 12 2010,N,advanced,M14496,"IN733215,IN732415,IN732972",2.31 meters,105 cm,27 cm
$103k,"$37,206",2 Ton 900 Kg,Jun 27 2008,"K,A",advanced,,"IN733216,IN733217",2.37 meters,102 cm,27 cm
,"$32,132",3 Ton 0 Kg,Jan 22 2010,"S,B",intermediate,M14497,"IN733218,IN733219,IN732774,IN732820,IN733097",2.4 meters,103 cm,27 cm
$191k,"$97,982",3 Ton 50 Kg,Dec 06 2002,"U,R",advanced,M14367,"IN732165,IN732280",2.48 meters,102 cm,27 cm
,"$164,094",2 Ton 880 Kg,Mar 14 1997,K,advanced,M14209,"IN733220,IN732528",2.94 meters,91 cm,24 cm
$160k,"$69,642",2 Ton 920 Kg,Jul 13 2012,U,advanced,M14365,"IN732982,IN732406,IN732850,IN732409",2.92 meters,92 cm,24 cm
$216k,"$108,638",3 Ton 340 Kg,Jan 02 2004,"S,N",super advanced,M14498,"IN732505,IN732903,IN732495,IN732309,IN732834,IN733123",2.59 meters,104 cm,27 cm
$103k,"$105,609",3 Ton 20 Kg,Aug 04 2006,J,intermediate,,"IN732164,IN733010",2.49 meters,101 cm,27 cm
,"$327,452",3 Ton 250 Kg,Sep 28 2007,"P,P",advanced,M14499,"IN732466,IN732680,IN732362,IN732115,IN732422,IN732089",2.72 meters,101 cm,26 cm
$160k,"$44,862",2 Ton 950 Kg,Jul 05 2013,"B,A",super advanced,M14500,"IN733190,IN733221,IN732173",2.24 meters,106 cm,28 cm
,"$105,958",3 Ton 20 Kg,Jan 02 2009,D,advanced,M14501,"IN732583,IN732104,IN732186,IN732395",2.65 meters,98 cm,26 cm
$50k,"$112,865",3 Ton 30 Kg,Jun 29 2012,"H,A",super advanced,M14502,"IN733086,IN732575,IN732624,IN732333,IN732330,IN732478,IN732722",2.47 meters,102 cm,27 cm
,"$36,399",3 Ton 40 Kg,Dec 09 2011,A,super advanced,M14493,"IN732231,IN732198,IN732506,IN732633,IN733168",2.01 meters,113 cm,30 cm
$29k,"$58,781",2 Ton 910 Kg,Jul 14 2000,"D,R",advanced,M14221,"IN732960,IN732311",1.96 meters,112 cm,29 cm
$298k,"$105,511",3 Ton 170 Kg,Feb 08 2002,"T,H",advanced,M14126,IN732615,3.04 meters,94 cm,25 cm
$50k,"$35,929",2 Ton 980 Kg,May 05 2000,D,advanced,,"IN732535,IN733222,IN732587,IN733223,IN732366,IN733224,IN733225,IN732237",2.43 meters,102 cm,27 cm
$119k,"$51,434",2 Ton 950 Kg,Dec 15 2000,D,advanced,,"IN732617,IN732991,IN732223,IN732804,IN732110,IN732633,IN732338,IN732921",2.14 meters,108 cm,28 cm
$66k,"$179,902",3 Ton 180 Kg,Sep 26 2003,"P,H",advanced,M14503,IN732689,3.11 meters,93 cm,24 cm
$44k,"$149,524",2 Ton 830 Kg,Sep 28 2001,D,advanced,,"IN732310,IN732086",2.48 meters,98 cm,26 cm
$223k,"$34,054",2 Ton 830 Kg,Jun 09 2000,"J,D",intermediate,,"IN732788,IN733156,IN732390",2.6 meters,96 cm,25 cm
$207k,"$318,571",2 Ton 950 Kg,Aug 19 2011,D,super advanced,M14504,"IN732691,IN732658,IN732846,IN733226,IN732466,IN732673,IN732186,IN732533,IN732937,IN732484",2.64 meters,97 cm,26 cm
$128k,"$273,549",3 Ton 100 Kg,Aug 28 2015,D,advanced,M14505,"IN732267,IN732055,IN732125,IN733227,IN733228",2.66 meters,99 cm,26 cm
$62k,"$85,268",2 Ton 960 Kg,Mar 26 2004,D,advanced,,"IN733229,IN733230,IN732546,IN733231,IN732598,IN733232,IN732893",2.89 meters,93 cm,24 cm
$144k,"$50,535",3 Ton 70 Kg,Sep 21 2001,K,advanced,M14238,IN732294,2.65 meters,99 cm,26 cm
,"$33,729",2 Ton 880 Kg,Oct 25 1996,"J,D",intermediate,M14322,,2.7 meters,95 cm,25 cm
$128k,"$33,167",2 Ton 970 Kg,Jul 09 2004,D,advanced,M14459,"IN732503,IN732218,IN732617",2.66 meters,97 cm,25 cm
$191k,"$130,182",3 Ton 250 Kg,Jan 01 2010,U,advanced,M14506,"IN732562,IN732808,IN732082,IN732743",2.72 meters,101 cm,26 cm
,"$6,446",3 Ton 70 Kg,Feb 10 2012,"N,D",advanced,M14507,"IN733233,IN733234,IN732727",2.48 meters,102 cm,27 cm
,"$9,803",2 Ton 840 Kg,Jan 16 2004,E,super advanced,M14490,,2.71 meters,94 cm,25 cm
$254k,"$73,190",3 Ton 240 Kg,Jan 07 2000,D,advanced,M14164,"IN732368,IN733235,IN732112,IN732247,IN733179",2.6 meters,103 cm,27 cm
,"$113,635",3 Ton 200 Kg,Jan 03 2003,"S,B",intermediate,,,2.7 meters,100 cm,26 cm
$254k,"$321,404",3 Ton 180 Kg,Jul 10 2009,U,advanced,M14479,"IN732893,IN733226,IN732456,IN733236,IN732239,IN733237,IN732630",2.38 meters,106 cm,28 cm
,"$103,286",2 Ton 900 Kg,Feb 03 2010,G,basic,,IN732283,2.86 meters,93 cm,24 cm
$44k,"$125,036",2 Ton 910 Kg,Apr 15 2015,B,intermediate,M14508,,2.34 meters,103 cm,27 cm
,,3 Ton 0 Kg,Jun 27 2008,"U,H",super advanced,M14509,"IN732140,IN732850",2.39 meters,103 cm,27 cm
$28k,"$186,192",2 Ton 920 Kg,Jul 01 2011,"D,R",advanced,M14248,"IN732500,IN733238,IN732816,IN732171,IN732487,IN732945,IN732584,IN732900,IN732733,IN732306",2.54 meters,99 cm,26 cm
$191k,"$255,849",3 Ton 330 Kg,May 27 2011,H,advanced,M14510,"IN732562,IN733052,IN732067,IN732494,IN733128,IN732612",2.53 meters,106 cm,28 cm
,"$16,612",2 Ton 950 Kg,Dec 27 1996,"J,D",intermediate,M14511,"IN733008,IN732593",2.76 meters,95 cm,25 cm
,"$101,324",3 Ton 0 Kg,Mar 14 1997,"T,D",advanced,M14512,"IN732897,IN733213",2.77 meters,96 cm,25 cm
$75k,"$52,322",3 Ton 50 Kg,Dec 09 2016,H,advanced,M14513,"IN732566,IN733239,IN732685",2.41 meters,104 cm,27 cm
$254k,"$138,793",3 Ton 80 Kg,Nov 12 2010,"U,H",super advanced,M14315,"IN732964,IN733023,IN732802,IN732182",2.43 meters,104 cm,27 cm
$562k,"$317,526",3 Ton 130 Kg,Mar 20 2015,"S,A",advanced,M14514,"IN732682,IN733006,IN732161,IN732143",2.57 meters,102 cm,27 cm
$128k,"$259,112",3 Ton 120 Kg,Dec 01 2006,B,intermediate,M14515,"IN732151,IN732241,IN732541",2.81 meters,97 cm,25 cm
,"$76,818",2 Ton 710 Kg,Sep 10 2003,C,advanced,,"IN732217,IN732219",2.79 meters,91 cm,24 cm
$97k,"$57,139",2 Ton 990 Kg,Apr 30 2003,"N,D",advanced,,IN732692,2.59 meters,99 cm,26 cm
$81k,"$49,534",3 Ton 50 Kg,Feb 04 2000,D,super advanced,M14191,"IN732427,IN732551,IN732530",2.61 meters,100 cm,26 cm
$138k,"$79,404",2 Ton 970 Kg,Oct 28 2005,"B,A",advanced,M14516,"IN732086,IN733240",2.42 meters,102 cm,27 cm
$106k,"$547,466",2 Ton 950 Kg,Aug 20 2004,D,intermediate,M14399,"IN732338,IN733042,IN733241,IN733242,IN732208,IN733243,IN733244,IN733018",2.61 meters,98 cm,26 cm
,"$54,189",3 Ton 140 Kg,Jul 25 2008,"Q,H",advanced,,"IN732580,IN732808,IN733245,IN732288,IN733246,IN732472,IN733247",2.64 meters,100 cm,26 cm
$144k,"$87,071",3 Ton 230 Kg,Jul 28 2006,"D,H",intermediate,M14223,"IN732855,IN732587,IN732464,IN732502,IN732873",2.63 meters,102 cm,27 cm
$100k,"$74,719",2 Ton 950 Kg,Jan 21 2005,"J,B",intermediate,,"IN732469,IN732268,IN732637",2.3 meters,104 cm,27 cm
$364k,"$295,044",3 Ton 90 Kg,May 23 2014,S,super advanced,M14397,"IN732489,IN732600,IN733001,IN732633,IN733248,IN733066",3.33 meters,89 cm,23 cm
,"$72,561",3 Ton 210 Kg,May 16 1997,"Q,D",intermediate,M14517,"IN732350,IN732405,IN732947,IN732304,IN733249,IN733250",2.42 meters,106 cm,28 cm
$15k,"$58,012",2 Ton 900 Kg,Sep 19 2003,"F,H",super advanced,,"IN732559,IN732576,IN733224",2.2 meters,106 cm,28 cm
$40k,"$92,080",3 Ton 30 Kg,Jul 20 2007,D,advanced,M14518,"IN733102,IN733251,IN732712,IN733252",2.7 meters,97 cm,26 cm
$270k,"$404,237",3 Ton 70 Kg,Sep 03 2008,"J,B",intermediate,,"IN732535,IN732137,IN732464",2.74 meters,98 cm,26 cm
$317k,"$212,856",3 Ton 210 Kg,Sep 06 2000,"N,A",super advanced,M14183,IN732641,3.05 meters,94 cm,25 cm
$25k,"$131,534",3 Ton 90 Kg,Jul 05 2013,"F,H",super advanced,M14519,"IN732929,IN732188,IN732214,IN732997,IN732964,IN733253",2.39 meters,105 cm,27 cm
$34k,"$40,314",3 Ton 110 Kg,Nov 03 2006,"Q,B",advanced,,,2.78 meters,97 cm,26 cm
$348k,"$196,671",3 Ton 140 Kg,Aug 15 2014,S,advanced,M14520,"IN733254,IN732203,IN732674,IN732197,IN732612,IN732255",2.7 meters,99 cm,26 cm
$66k,"$76,352",3 Ton 30 Kg,Nov 28 2014,R,advanced,M14430,"IN732769,IN732974,IN732928,IN732241,IN733255,IN732056",2.48 meters,102 cm,27 cm
$216k,"$164,202",3 Ton 310 Kg,Dec 28 2001,V,super advanced,M14521,"IN732252,IN732260,IN732406,IN733256,IN733192,IN732478",2.54 meters,105 cm,28 cm
$285k,"$353,162",3 Ton 310 Kg,Sep 03 1999,"U,A",super advanced,M14464,"IN732440,IN732411,IN732282,IN732591,IN732567",2.73 meters,101 cm,27 cm
$122k,"$128,406",3 Ton 110 Kg,Mar 07 2003,U,advanced,M14229,IN732582,3.06 meters,93 cm,24 cm
,"$57,856",2 Ton 930 Kg,Jul 02 2014,D,advanced,M14522,"IN733257,IN732233,IN732798,IN732405",2.81 meters,94 cm,25 cm
$97k,"$104,391",3 Ton 40 Kg,Mar 16 2016,D,super advanced,M14523,"IN732605,IN732726,IN733258,IN733259,IN733260,IN733261,IN733014,IN732630,IN732250",2.81 meters,96 cm,25 cm
$210k,"$278,250",3 Ton 130 Kg,Feb 11 2000,"U,R",advanced,,"IN733220,IN732564",2.52 meters,103 cm,27 cm
$128k,"$45,326",2 Ton 990 Kg,Feb 11 2005,D,advanced,M14287,"IN732503,IN732591,IN732406,IN732521,IN732566",2.77 meters,96 cm,25 cm
$317k,"$340,498",3 Ton 20 Kg,Mar 07 2014,C,intermediate,M14524,"IN732680,IN732453,IN732927,IN732326,IN732185,IN733262,IN733263,IN733264,IN733265,IN732813",2.81 meters,95 cm,25 cm
,"$127,563",2 Ton 860 Kg,Nov 09 2007,D,advanced,"M14477,M14452","IN732721,IN732312,IN732273",3.14 meters,88 cm,23 cm
$317k,"$238,432",2 Ton 990 Kg,Sep 28 2007,K,intermediate,,"IN732620,IN732144,IN732645,IN732839,IN732569,IN733266,IN732406",2.89 meters,94 cm,25 cm
$317k,"$320,948",3 Ton 150 Kg,Apr 04 1997,A,super advanced,,"IN732641,IN733042,IN733267,IN732822,IN732608",2.12 meters,112 cm,29 cm
$166k,"$397,287",3 Ton 300 Kg,Dec 29 2000,H,super advanced,M14427,"IN732616,IN732562",2.46 meters,107 cm,28 cm
,"$82,758",3 Ton 50 Kg,May 23 1997,"S,A",super advanced,M14525,"IN732226,IN732164",2.46 meters,102 cm,27 cm
$128k,"$181,830",2 Ton 890 Kg,Nov 29 2013,C,intermediate,M14526,"IN732788,IN733268,IN733269,IN732698,IN732838,IN733156",2.56 meters,98 cm,26 cm
,"$81,685",3 Ton 160 Kg,Aug 01 2014,"U,A",super advanced,M14129,"IN732615,IN732641,IN733117,IN732593,IN733270,IN733271,IN733272,IN732849",2.28 meters,108 cm,28 cm
$66k,"$110,790",3 Ton 80 Kg,Dec 31 2004,"S,D",super advanced,M14299,"IN732267,IN732486,IN732587,IN732087,IN732245,IN732743",2.42 meters,104 cm,27 cm
$81k,"$58,549",2 Ton 920 Kg,Dec 03 2004,D,super advanced,M14527,"IN732106,IN732489",2.46 meters,100 cm,26 cm
$552k,"$318,330",2 Ton 900 Kg,Apr 04 2008,"K,D",intermediate,M14367,"IN732459,IN732505,IN732779,IN732062,IN732121,IN733273,IN733274,IN733203",2.56 meters,98 cm,26 cm
,"$41,965",3 Ton 170 Kg,Apr 11 2008,H,advanced,,"IN732931,IN732405,IN732668,IN733275,IN732856,IN733276,IN732054,IN732257",2.72 meters,99 cm,26 cm
,"$86,515",2 Ton 950 Kg,May 29 1998,"S,N",super advanced,M14218,IN732119,2.61 meters,98 cm,26 cm
$84k,"$209,139",3 Ton 210 Kg,May 14 1999,R,advanced,M14245,IN732218,2.38 meters,107 cm,28 cm
$176k,"$139,322",3 Ton 210 Kg,Jul 01 2016,U,advanced,M14144,"IN732531,IN733115,IN733277,IN732929,IN733278,IN733279,IN732666,IN732271,IN733280",3.01 meters,95 cm,25 cm
$69k,"$31,649",2 Ton 950 Kg,Sep 17 2010,D,advanced,M14528,"IN732097,IN732932,IN732218,IN732321,IN733069",1.84 meters,117 cm,31 cm
,"$48,344",2 Ton 880 Kg,Jun 29 2007,C,basic,,"IN733053,IN732897,IN733203,IN732277,IN732642",2.72 meters,95 cm,25 cm
,"$49,347",3 Ton 90 Kg,Aug 21 1998,H,super advanced,,IN732094,2.61 meters,100 cm,26 cm
$56k,"$173,118",2 Ton 910 Kg,Jan 17 2014,N,super advanced,M14488,"IN733187,IN732958,IN733281,IN732829,IN733282",3.11 meters,89 cm,23 cm
$254k,"$123,184",3 Ton 20 Kg,Mar 22 2002,"S,D",advanced,M14495,"IN733065,IN732581,IN733031,IN732545,IN732646,IN732858,IN732994",2.78 meters,96 cm,25 cm
$50k,"$82,650",3 Ton 100 Kg,Jan 22 2016,"S,U",super advanced,M14529,"IN732400,IN732330,IN732951",2.72 meters,98 cm,26 cm
,"$48,320",3 Ton 10 Kg,Jun 12 1998,D,advanced,,"IN733283,IN732749,IN732566",2.54 meters,100 cm,26 cm
,"$180,436",3 Ton 330 Kg,Dec 27 1996,"U,A",super advanced,,"IN732164,IN732700,IN732559",2.72 meters,102 cm,27 cm
$160k,"$165,323",3 Ton 10 Kg,Dec 28 2001,A,super advanced,M14432,"IN732677,IN732153",2.68 meters,98 cm,26 cm
$443k,"$206,967",3 Ton 500 Kg,Sep 25 2015,H,advanced,M14170,"IN732479,IN732190,IN732861,IN732996,IN732393,IN732255,IN732599",2.45 meters,110 cm,29 cm
$254k,"$134,106",3 Ton 140 Kg,Jun 03 2005,"Q,N",super advanced,M14126,IN732570,2.79 meters,98 cm,26 cm
,"$26,973",2 Ton 900 Kg,Jan 30 2009,G,intermediate,,IN733284,2.23 meters,105 cm,28 cm
$28k,"$36,720",2 Ton 900 Kg,Jun 18 2010,D,super advanced,M14302,"IN732654,IN732108,IN732717,IN732435",2.65 meters,96 cm,25 cm
$100k,"$40,632",3 Ton 60 Kg,Nov 05 2010,H,intermediate,M14530,"IN732788,IN732203,IN732675,IN733285",2.79 meters,96 cm,25 cm
,"$57,320",3 Ton 180 Kg,Jul 11 1997,U,super advanced,M14229,"IN732403,IN732411,IN733156",2.55 meters,103 cm,27 cm
,"$17,931",2 Ton 930 Kg,Sep 10 2003,"T,A",advanced,,"IN733286,IN733287,IN733288,IN732301",2.07 meters,110 cm,29 cm
,"$102,771",3 Ton 290 Kg,Oct 07 2012,H,advanced,M14531,"IN733289,IN732596,IN732139,IN732233,IN732612,IN732468,IN733290,IN732062",2.77 meters,100 cm,26 cm
,"$87,157",3 Ton 10 Kg,Oct 25 1996,U,super advanced,M14532,"IN733291,IN732260,IN732371",2.4 meters,103 cm,27 cm
,"$61,481",3 Ton 20 Kg,Dec 23 2016,"U,H",super advanced,M14520,"IN732970,IN733292,IN732650,IN732996,IN732473",2.71 meters,97 cm,25 cm
$113k,"$54,557",3 Ton 90 Kg,Nov 10 2000,U,super advanced,M14533,"IN732304,IN732372",2.69 meters,99 cm,26 cm
$207k,"$177,677",3 Ton 590 Kg,Apr 28 2000,"U,H",super advanced,M14534,"IN732682,IN732684,IN732281",2.73 meters,106 cm,28 cm
$254k,"$355,444",3 Ton 380 Kg,Apr 10 1998,A,super advanced,M14362,"IN732275,IN732231,IN733129,IN732903",2.54 meters,106 cm,28 cm
$254k,"$355,444",3 Ton 380 Kg,Apr 10 1998,A,super advanced,M14362,"IN732275,IN732231,IN733129,IN732903",2.59 meters,105 cm,28 cm
$22k,"$377,180",3 Ton 160 Kg,Apr 06 2005,G,super advanced,M14377,,2.57 meters,102 cm,27 cm
$160k,"$281,425",2 Ton 970 Kg,Dec 22 2006,"D,R",advanced,M14535,"IN732368,IN733156,IN732280,IN732208,IN732482,IN732227",3.09 meters,90 cm,24 cm
,"$46,886",2 Ton 950 Kg,Aug 07 1998,J,intermediate,,IN733023,2.74 meters,95 cm,25 cm
,"$9,330",2 Ton 910 Kg,Jan 17 1997,D,super advanced,,IN732942,2.71 meters,95 cm,25 cm
,"$81,988",3 Ton 240 Kg,Oct 30 1998,"N,A",super advanced,M14536,"IN732158,IN732233",3.21 meters,93 cm,24 cm
$59k,"$73,264",3 Ton 70 Kg,Jul 09 2010,"P,H",intermediate,,IN733293,2.72 meters,98 cm,26 cm
$254k,"$193,273",2 Ton 750 Kg,Oct 14 2000,O,basic,,,2.88 meters,90 cm,24 cm
$568k,"$737,969",3 Ton 400 Kg,Sep 01 2017,K,advanced,M14537,"IN733247,IN733294,IN733295,IN732730,IN732453,IN733246,IN732282,IN733296,IN732478",3.03 meters,98 cm,26 cm
$317k,"$488,710",3 Ton 230 Kg,Apr 21 2006,"B,A",advanced,M14289,"IN732060,IN732698,IN732604,IN733236,IN733297",2.32 meters,109 cm,28 cm
$380k,"$179,017",3 Ton 0 Kg,May 20 2016,"B,A",advanced,M14403,"IN732131,IN733026,IN733137,IN732069",2.63 meters,98 cm,26 cm
$411k,"$417,163",2 Ton 890 Kg,Mar 28 2008,"B,A",intermediate,M14289,"IN732060,IN732698,IN732604,IN733236,IN733297,IN732363,IN733298,IN732119",2.95 meters,91 cm,24 cm
$128k,"$68,701",2 Ton 870 Kg,Aug 27 2010,C,intermediate,M14538,"IN732746,IN732257,IN732807,IN732583,IN732337",3.21 meters,87 cm,23 cm
,"$41,160",3 Ton 190 Kg,Feb 12 2016,H,advanced,M14539,"IN732575,IN733299,IN732430,IN733300,IN732670",3.04 meters,94 cm,25 cm
$25k,"$80,039",2 Ton 950 Kg,Dec 20 1996,"F,D",super advanced,M14374,"IN732632,IN732277,IN732436",2.18 meters,107 cm,28 cm
$395k,"$661,943",3 Ton 300 Kg,Feb 10 2012,A,advanced,M14247,"IN732752,IN732313,IN732151,IN732766,IN732601,IN732155,IN732152",2.23 meters,112 cm,29 cm
$505k,"$752,553",3 Ton 300 Kg,Mar 07 2014,A,advanced,M14247,"IN732752,IN732313,IN732151,IN732766,IN732690,IN732152,IN732155,IN732601,IN733207,IN733126",2.06 meters,117 cm,31 cm
$270k,"$489,867",2 Ton 990 Kg,Jan 15 2010,A,advanced,M14247,"IN732752,IN732313,IN732151,IN732690,IN732601,IN732827",2.59 meters,99 cm,26 cm
$78k,"$75,729",2 Ton 980 Kg,Sep 07 2011,A,super advanced,"M14540,M14541","IN732766,IN732630,IN733301,IN733302,IN732532,IN733303,IN733304,IN733305",2.63 meters,98 cm,26 cm
,"$153,880",3 Ton 0 Kg,Oct 08 2005,"J,D",intermediate,,"IN733306,IN733053",2.71 meters,97 cm,25 cm
,"$92,563",2 Ton 990 Kg,Feb 20 1998,D,advanced,M14495,"IN732254,IN732563,IN733285,IN733023",2.67 meters,97 cm,26 cm
,"$68,161",2 Ton 950 Kg,Jan 24 1997,U,super advanced,M14424,"IN732159,IN732551",2.3 meters,104 cm,27 cm
$61k,"$36,271",3 Ton 180 Kg,Mar 05 1999,D,super advanced,M14125,"IN732130,IN733283,IN732111,IN732935,IN732305",2.9 meters,97 cm,25 cm
,"$13,749",3 Ton 20 Kg,Jul 11 2008,R,super advanced,M14542,"IN733200,IN732506,IN733037,IN732505,IN732656,IN733307,IN732162",2.43 meters,103 cm,27 cm
,"$21,249",2 Ton 860 Kg,Jul 18 2008,"P,H",advanced,,,2.37 meters,101 cm,27 cm
,"$12,534",2 Ton 990 Kg,Jun 27 1997,"F,D",super advanced,,"IN732305,IN732207",2.92 meters,93 cm,24 cm
,"$23,548",3 Ton 150 Kg,Aug 20 2003,"F,U",super advanced,M14543,"IN732728,IN733163",2.55 meters,102 cm,27 cm
$78k,"$183,934",3 Ton 380 Kg,Sep 29 2017,H,advanced,M14250,"IN732158,IN732612",3.0 meters,98 cm,26 cm
$97k,"$134,888",2 Ton 980 Kg,Jan 20 2006,"D,R",advanced,M14505,"IN732218,IN733308",2.63 meters,98 cm,26 cm
,"$32,190",2 Ton 940 Kg,Nov 07 1997,D,advanced,,"IN733009,IN732804,IN732314,IN733309,IN733310",2.12 meters,108 cm,28 cm
,"$39,434",2 Ton 920 Kg,Nov 11 2016,D,super advanced,M14171,"IN733305,IN733311,IN733312,IN732294,IN733313",2.42 meters,101 cm,26 cm
$128k,"$524,748",3 Ton 250 Kg,Nov 27 2015,R,super advanced,M14544,"IN732860,IN732952,IN732870,IN732529",2.3 meters,109 cm,29 cm
$201k,"$119,052",3 Ton 390 Kg,Jul 28 2000,F,super advanced,M14545,"IN732073,IN732847,IN732471,IN732455",2.45 meters,108 cm,28 cm
,"$75,261",3 Ton 50 Kg,Feb 05 2010,"H,A",advanced,,"IN732122,IN732595",2.44 meters,103 cm,27 cm
$75k,"$170,263",2 Ton 980 Kg,Dec 29 2000,N,super advanced,M14497,"IN733286,IN732311",2.83 meters,94 cm,25 cm
,"$150,251",3 Ton 0 Kg,Nov 14 2003,N,super advanced,M14393,IN732311,2.42 meters,102 cm,27 cm
$81k,"$172,672",3 Ton 150 Kg,Nov 24 2006,N,super advanced,M14497,"IN732061,IN733003",3.01 meters,94 cm,25 cm
$128k,"$136,511",2 Ton 950 Kg,May 25 2012,N,super advanced,M14546,"IN732296,IN733314,IN733315,IN733316",2.72 meters,96 cm,25 cm
$433k,"$103,663",3 Ton 80 Kg,Apr 24 2002,C,advanced,,IN732502,2.56 meters,101 cm,26 cm
,"$1,530,461",3 Ton 30 Kg,Mar 31 2017,C,intermediate,"M14547,M14548","IN733179,IN732333,IN733317,IN732858,IN732592,IN732546,IN732149,IN732174,IN733318,IN733319,IN732432,IN733320,IN732393",2.48 meters,102 cm,27 cm
,"$165,468",3 Ton 360 Kg,Oct 05 2001,H,advanced,M14549,"IN733220,IN732497,IN732489",2.95 meters,98 cm,26 cm
